Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4sHOAALFZiNa4wukjPSBpq,"Come Back Song","Charleston, SC 1966","Darius Rucker",2010-01-01,235146,63,false,jackdutton8,2024-05-03T19:38:56Z,"country","Capitol Nashville",0.516,0.745,9,-5.674,1,0.0381,0.138,0,0.114,0.77,177.781,4
spotify:track:5JlH51YDYsGj2dyEJKKjcN,"Alright","Learn To Live","Darius Rucker",2008-01-01,231920,68,false,jackdutton8,2024-05-03T19:39:03Z,"country","Capitol Nashville",0.601,0.806,7,-4.579,1,0.0345,0.0527,0,0.185,0.711,89.87,4
spotify:track:0XfFxeXzMkIy5SWAVpOQin,"Don't Think I Don't Think About It","Learn To Live","Darius Rucker",2008-01-01,183306,62,false,jackdutton8,2024-05-03T19:39:22Z,"country","Capitol Nashville",0.578,0.752,9,-5.264,1,0.033,0.0275,0,0.125,0.405,149.689,4
spotify:track:6fIvjDuusQK59brMgHV9qb,"This","Charleston, SC 1966","Darius Rucker",2010-01-01,218866,57,false,jackdutton8,2024-05-03T19:39:36Z,"country","Capitol Nashville",0.625,0.826,4,-5.037,1,0.0325,0.121,0,0.158,0.699,99.919,4
spotify:track:6NGqtkp6zbRmQnbRTehplQ,"Southern State Of Mind","Charleston, SC 1966","Darius Rucker",2010-01-01,216920,50,false,jackdutton8,2024-05-03T19:39:44Z,"country","Capitol Nashville",0.601,0.63,1,-6.874,1,0.0276,0.147,0,0.263,0.672,154.879,4
spotify:track:0XgNPFFNwV2B9OXhnUkDLT,"Love Will Do That","Charleston, SC 1966","Darius Rucker",2010-01-01,204893,25,false,jackdutton8,2024-05-03T19:40:06Z,"country","Capitol Nashville",0.664,0.822,4,-6.533,1,0.0414,0.208,0,0.229,0.804,116.857,4
spotify:track:178OI1A3qjROeFeh8lmNwW,"Traveller","Traveller","Chris Stapleton",2015-05-04,222413,74,false,jackdutton8,2024-05-06T02:42:03Z,"country,outlaw country","Mercury Nashville",0.543,0.75,2,-7.071,0,0.0282,0.0682,0.0166,0.125,0.758,88.107,4
spotify:track:5j4hSQH0KaAc8f6cimnXIT,"Fire Away","Traveller","Chris Stapleton",2015-05-04,244333,75,false,jackdutton8,2024-05-06T02:42:05Z,"country,outlaw country","Mercury Nashville",0.559,0.301,9,-9.066,1,0.0297,0.055,0.00979,0.101,0.177,116.123,3
spotify:track:5jROdl6MhcmP3O7h2sVgtw,"Parachute","Traveller","Chris Stapleton",2015-05-04,253200,77,false,jackdutton8,2024-05-06T02:42:11Z,"country,outlaw country","Mercury Nashville",0.642,0.762,6,-7.411,1,0.0296,0.00967,0.0000572,0.182,0.605,113.038,4
spotify:track:4WRRCuJYRq7gUKiupxVH9W,"Nobody To Blame","Traveller","Chris Stapleton",2015-05-04,244146,65,false,jackdutton8,2024-05-06T02:42:12Z,"country,outlaw country","Mercury Nashville",0.534,0.666,9,-9.471,1,0.0335,0.0143,0.0615,0.113,0.59,87.401,4
spotify:track:4BaAxwS4VoeCYk9TuXQs7f,"Free","The Foundation","Zac Brown Band",2008-11-17,228653,69,false,jackdutton8,2024-05-06T02:42:23Z,"country,acoustic country","Home Grown Music",0.453,0.411,1,-7.539,1,0.0276,0.235,0.00021,0.101,0.28,75.752,4
spotify:track:7puxIVNdj5nsBJk43zM3bH,"Carrying Your Love With Me","Carrying Your Love With Me","George Strait",1997-01-01,232426,72,false,jackdutton8,2024-05-06T02:42:33Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.629,0.479,10,-10.608,1,0.0271,0.22,0,0.0587,0.345,138.231,4
spotify:track:3KZw9g7PNBBx66sHNqme6Z,"What Are You Listening To?","What Are You Listening To?","Chris Stapleton",2013-01-01,245920,75,false,jackdutton8,2024-05-06T02:42:35Z,"country,outlaw country","Mercury Nashville",0.563,0.553,10,-8.501,1,0.0287,0.19,0.0000471,0.0967,0.409,161.893,4
spotify:track:3K07bGe8iljQ3mOKArHLDo,"Starting Over","Starting Over","Chris Stapleton",2020-11-13,240413,80,false,jackdutton8,2024-05-06T02:42:45Z,"country,outlaw country","Mercury Nashville",0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,4
spotify:track:2UikqkwBv7aIvlixeVXHWt,"You Should Probably Leave","Starting Over","Chris Stapleton",2020-11-13,213493,84,false,jackdutton8,2024-05-06T02:42:47Z,"country,outlaw country","Mercury Nashville",0.602,0.477,9,-8.425,1,0.032,0.268,0.000031,0.173,0.552,183.89,4
spotify:track:2kR18wsL3gvXRXdNE4dCGc,"Homegrown","JEKYLL + HYDE","Zac Brown Band",2015-04-28,205000,69,false,jackdutton8,2024-05-06T13:26:08Z,"country,acoustic country","Home Grown Music",0.712,0.807,6,-3.976,1,0.0297,0.0244,0.000122,0.0905,0.936,105.024,4
spotify:track:65UCejW01DAovmluVYHWAt,"As She's Walking Away (feat. Alan Jackson)","You Get What You Give","Zac Brown Band;Alan Jackson",2010-09-20,223826,70,false,jackdutton8,2024-05-06T13:26:11Z,"country,acoustic country,country christian,classic country","Home Grown Music",0.553,0.619,3,-7.101,1,0.0308,0.479,0,0.123,0.376,183.908,4
spotify:track:68JS5SFTnW5Yv9Vzw81Jf0,"Millionaire","From A Room: Volume 2","Chris Stapleton",2017-12-01,210133,75,false,jackdutton8,2024-05-06T13:26:36Z,"country,outlaw country","Mercury Nashville",0.616,0.474,10,-9.608,1,0.0266,0.192,0.00762,0.0989,0.493,142.689,4
spotify:track:57I7CUbXo4XlWuTVB8pXW6,"I Go Back","When The Sun Goes Down","Kenny Chesney",2004-01-22,243720,65,false,jackdutton8,2024-05-06T13:26:47Z,"country","BNA Records Label",0.532,0.842,5,-5.754,1,0.0503,0.0409,0,0.217,0.67,90.187,4
spotify:track:3cE5ltZFHmBpiS77itKaOM,"Summertime","The Road And The Radio","Kenny Chesney",2005-11-07,206586,61,false,jackdutton8,2024-05-06T13:26:53Z,"country","BNA Records Label",0.48,0.928,4,-5.501,1,0.0899,0.169,0,0.0479,0.713,167.986,4
spotify:track:208bYsadJ56km31IENM2qS,"No Shoes, No Shirt, No Problems","No Shoes, No Shirt, No Problems","Kenny Chesney",2002-04-02,209666,59,false,jackdutton8,2024-05-06T13:26:59Z,"country","BNA Records Label",0.719,0.546,7,-10.239,1,0.032,0.243,0.00844,0.181,0.669,117.925,4
spotify:track:4qjmnM1aYvayCTDd0uuRKH,"Troubadour","Troubadour","George Strait",2008-01-01,176226,67,false,jackdutton8,2024-05-06T13:27:26Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.567,0.621,11,-6.395,1,0.0261,0.358,0.000577,0.274,0.347,136.092,4
spotify:track:1qHRFZE8qykNXYZadzmi1m,"Give It Away","It Just Comes Natural","George Strait",2006-01-01,209320,68,false,jackdutton8,2024-05-06T13:27:36Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.674,0.646,5,-5.876,1,0.027,0.486,0.0000837,0.262,0.613,148.1,4
spotify:track:1TanmIWbaUj5NVwJ3k4XPd,"Write This Down","Always Never The Same","George Strait",1999-01-01,219600,72,false,jackdutton8,2024-05-06T13:27:41Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.729,0.688,3,-7.468,1,0.0264,0.127,0.00000944,0.295,0.671,123.867,4
spotify:track:11OFYsUK9EVJsQ6nutH32M,"Here For A Good Time","Here For A Good Time","George Strait",2011-01-01,180266,68,false,jackdutton8,2024-05-06T13:27:44Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.596,0.768,6,-6.753,1,0.0369,0.0858,0.00000623,0.116,0.532,127.93,4
spotify:track:7yQMZQeiSKnvEgimeGPVhi,"I Can Still Make Cheyenne","Blue Clear Sky","George Strait",1996-01-01,256066,65,false,jackdutton8,2024-05-06T13:27:49Z,"country,classic country,traditional country,honky tonk","MCA Nashville",0.585,0.39,3,-10.233,1,0.0266,0.679,0.000683,0.0919,0.237,109.512,4
spotify:track:0bM1z18RQpr61UuI1LemIK,"Dixieland Delight","The Closer You Get...","Alabama",1983,325542,70,false,jackdutton8,2024-05-06T13:28:29Z,"classic country,country,country rock,country christian","RCA Records Label Nashville",0.444,0.414,2,-15.04,1,0.0325,0.163,0.0000207,0.053,0.573,95.73,4
spotify:track:3fqwjXwUGN6vbzIwvyFMhx,"Tennessee Whiskey","Traveller","Chris Stapleton",2015-05-04,293293,85,false,jackdutton8,2024-05-06T13:28:45Z,"country,outlaw country","Mercury Nashville",0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4
