Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0gEyKnHvgkrkBM6fbeHdwK,"Linger","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,274706,86,false,jackdutton8,2024-04-08T16:02:02Z,"","Island Records",0.439,0.434,7,-14.918,1,0.0265,0.0783,0.0000518,0.14,0.204,94.843,4
spotify:track:6BrMEbPSSj55nQhkgf6DnE,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster","Hatful of Hollow","The Smiths",1984,112706,80,false,jackdutton8,2024-04-08T16:02:13Z,"new wave,madchester,jangle pop","WM UK",0.241,0.468,2,-9.579,1,0.0272,0.534,0,0.161,0.451,91.581,3
spotify:track:4JGKZS7h4Qa16gOU3oNETV,"Dreams","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,271560,83,false,jackdutton8,2024-04-08T16:02:16Z,"","Island Records",0.551,0.645,4,-13.093,1,0.0354,0.0031,0.00376,0.421,0.508,128.665,4
spotify:track:4zEvxRDaKDoFlHxK7Hy0wg,"Sunday","Everybody Else Is Doing It, So Why Can't We?","The Cranberries",1993-03-01,211066,71,false,jackdutton8,2024-04-08T16:02:22Z,"","Island Records",0.329,0.565,0,-13.103,1,0.0335,0.0614,0.0000197,0.126,0.167,108.859,4
spotify:track:754kgU5rWscRTfvlsuEwFp,"Kiss Me","Sixpence None The Richer","Sixpence None The Richer",1997-11-22,208680,84,false,jackdutton8,2024-04-08T16:02:31Z,"","Curb | Word",0.526,0.749,3,-6.964,1,0.0283,0.023,0.00000176,0.0692,0.421,99.982,4
spotify:track:3OS4XXm4S42pnESQmtN9MG,"Well I Wonder - 2011 Remaster","Meat Is Murder","The Smiths",1985-02-11,239426,71,false,jackdutton8,2024-04-08T16:02:40Z,"new wave,madchester,jangle pop","WM UK",0.643,0.59,11,-10.843,0,0.0284,0.0806,0.00578,0.174,0.818,126.651,4
spotify:track:2a1iMaoWQ5MnvLFBDv4qkf,"High and Dry","The Bends","Radiohead",1995-03-13,257480,79,false,jackdutton8,2024-04-08T16:02:43Z,"art rock,alternative rock","XL Recordings",0.419,0.383,4,-11.782,1,0.0256,0.0724,0.0176,0.0896,0.35,87.568,4
spotify:track:5QLHGv0DfpeXLNFo7SFEy1,"1979 - Remastered 2012","Mellon Collie And The Infinite Sadness (Deluxe Edition)","The Smashing Pumpkins",1995,266200,80,false,jackdutton8,2024-04-08T16:02:48Z,"alternative rock,rock","Virgin Records",0.767,0.787,3,-9.897,1,0.0331,0.0163,0.583,0.0513,0.964,126.879,4
spotify:track:6Jv7kjGkhY2fT4yuBF3aTz,"Lover, You Should've Come Over","Grace","Jeff Buckley",1994,404213,86,false,jackdutton8,2024-04-08T16:02:51Z,"","Columbia/Legacy",0.387,0.595,2,-5.67,1,0.0389,0.361,0.000011,0.174,0.151,119.38,3
spotify:track:0y5CnV2idm2KkQEudDjfDT,"Last Goodbye","Grace","Jeff Buckley",1994,275733,68,false,jackdutton8,2024-04-08T16:03:12Z,"","Columbia/Legacy",0.539,0.827,2,-5.045,1,0.038,0.0254,0.000425,0.233,0.523,86.922,4
spotify:track:4vsoWZcvtvSsE0OiVvDDvX,"Harness Your Hopes - B-side","Brighten the Corners: Nicene Creedence Ed.","Pavement",2008-12-09,206946,73,false,jackdutton8,2024-04-08T16:03:48Z,"alternative rock,indie","Matador",0.604,0.573,2,-7.804,1,0.037,0.289,0.0406,0.133,0.581,107.862,4
spotify:track:5XrfFo0JFOnWD9ZMNXGkQh,"If It Makes You Happy","Sheryl Crow","Sheryl Crow",1996-01-01,323400,67,false,jackdutton8,2024-04-08T16:04:53Z,"","A&M",0.543,0.682,7,-7.091,1,0.0289,0.0496,0.0000842,0.104,0.292,95.421,4
spotify:track:5kcsc92tGAjS0uvhDY3Mok,"Ode To My Family","No Need To Argue (The Complete Sessions 1994-1995)","The Cranberries",1994-10-03,271533,15,false,jackdutton8,2024-04-08T16:05:24Z,"","Island Records",0.366,0.443,7,-10.11,1,0.0235,0.0472,0.00000144,0.344,0.149,93.951,4
