Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39rHfrVqCX6A55GF7uOZSC,"1612","Fugue State","Vulfpeck",2014-08-26,199639,58,false,jackdutton8,2022-12-04T00:32:41Z,"funk,funk rock","Vulf Records",0.678,0.392,0,-11.328,1,0.274,0.177,0.0045,0.0839,0.711,171.276,4
spotify:track:48wH8bAxvBJO2l14GmNLz7,"Wait for the Moment","My First Car","Vulfpeck",2013-12-06,230676,61,false,jackdutton8,2022-12-04T00:33:07Z,"funk,funk rock","Vulf Records",0.773,0.36,0,-9.722,1,0.0956,0.501,0.0042,0.0823,0.681,79.207,4
spotify:track:1BLOVHYYlH4JUHQGcpt75R,"Ode To The Mets","The New Abnormal","The Strokes",2020-04-10,351786,75,true,jackdutton8,2022-12-04T00:33:14Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.426,0.617,1,-5.423,0,0.0289,0.341,0.181,0.101,0.201,92.002,4
spotify:track:7lu6YLrlB1MU7HW8DJSuPa,"At The Door","The New Abnormal","The Strokes",2020-04-10,310373,61,false,jackdutton8,2022-12-04T00:33:31Z,"garage rock,indie rock,alternative rock","Cult Records/RCA Records",0.456,0.323,10,-6.764,1,0.0318,0.858,0.00913,0.146,0.363,116.903,4
spotify:track:01TyFEZu6mHbffsVfxgrFn,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,2,false,jackdutton8,2022-12-04T00:33:43Z,"bedroom pop,indie pop","Indie",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
spotify:track:7hm4HTk9encxT0LYC0J6oI,"Someday","Is This It","The Strokes",2001-07-30,183440,67,false,jackdutton8,2022-12-04T00:33:54Z,"garage rock,indie rock,alternative rock","RCA Records Label",0.539,0.521,9,-7.46,1,0.0299,0.00425,0,0.367,0.679,106.035,4
spotify:track:48UPSzbZjgc449aqz8bxox,"Californication","Californication (Deluxe Edition)","Red Hot Chili Peppers",1999-06-08,329733,86,false,jackdutton8,2022-12-04T00:34:14Z,"funk rock,alternative rock,rock","Warner Records",0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,4
spotify:track:7KYzARBusZhyZ6jygZDmVr,"SHYNESS BOY","Timely!!","Anri",1983-12-05,196666,60,false,jackdutton8,2022-12-04T00:34:40Z,"city pop,j-pop,kayokyoku","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.765,0.777,1,-5.301,0,0.0306,0.142,0.000122,0.104,0.87,119.935,3
spotify:track:0fsz7tJ7UKXT9hliLfO7aE,"The Distance","Fashion Nugget","CAKE",1996-09-17,180627,64,false,jackdutton8,2022-12-04T00:34:53Z,"alternative rock","Volcano",0.456,0.752,11,-8.121,0,0.09,0.0095,0.00145,0.0573,0.897,183.569,4
spotify:track:7h2VOqNH9yHNAmIXImth4n,"Commissioning a Symphony In C","Comfort Eagle","CAKE",2001-07-24,179098,43,false,jackdutton8,2022-12-04T00:35:02Z,"alternative rock","Columbia",0.699,0.567,5,-10.331,1,0.0381,0.0211,0.529,0.0947,0.471,126.565,4
spotify:track:7wUKwHKUPxiEQSBu8Bqeca,"B'nD","Jassbusters","Connan Mockasin",2018-10-12,216588,0,false,jackdutton8,2022-12-04T00:35:08Z,"","Mexican Summer",0.871,0.251,6,-16.127,1,0.0474,0.634,0.696,0.0951,0.451,101.525,4
spotify:track:7DcJ6fEBb7BaKuYKTwiDxK,"Homage","Skiptracing","Mild High Club",2016-08-26,177493,73,false,jackdutton8,2022-12-04T00:35:17Z,"neo-psychedelic","Stones Throw Records",0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369,4
spotify:track:0gEaeqVRHPzRc7HMXtOKc7,"Pigs (Three Different Ones)","Animals","Pink Floyd",1977-01-23,686333,62,true,jackdutton8,2022-12-04T00:35:22Z,"progressive rock,psychedelic rock,classic rock,art rock,rock","Pink Floyd Records",0.419,0.575,4,-12.22,0,0.0897,0.103,0.459,0.895,0.354,129.267,4
