Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1pbbsI2KGPOMu0HmuGccBu,"WILSHIRE","CALL ME IF YOU GET LOST","Tyler, The Creator",2021-06-25,515865,60,true,jackdutton8,2023-01-04T13:58:09Z,"","Columbia",0.555,0.712,1,-7.446,1,0.323,0.0451,0.00000514,0.182,0.555,78.958,4
spotify:track:3EG9FJ0ToLfgnc1IG2Z1wz,"SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","CALL ME IF YOU GET LOST","Tyler, The Creator;Brent Faiyaz;Fana Hues",2021-06-25,588139,73,true,jackdutton8,2023-01-04T13:58:17Z,"r&b,alternative r&b","Columbia",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4
spotify:track:3jHdKaLCkuNEkWcLVmQPCX,"BEST INTEREST","BEST INTEREST","Tyler, The Creator",2020-01-25,127921,74,true,jackdutton8,2023-01-04T13:58:25Z,"","Columbia",0.596,0.575,11,-8.325,0,0.0514,0.0861,0.000153,0.334,0.34,98.265,3
spotify:track:12ILYlOEfWL8ei0BEgFJn0,"N Side","Apollo XXI","Steve Lacy",2019-05-24,224444,71,false,jackdutton8,2023-01-04T13:58:32Z,"","3qtr",0.838,0.535,11,-6.303,0,0.0432,0.0714,0.000302,0.208,0.894,119.946,4
spotify:track:13HsOwrwTA5HgLuoaDHncP,"RUNITUP (feat. Teezo Touchdown)","CALL ME IF YOU GET LOST","Tyler, The Creator;Teezo Touchdown",2021-06-25,229564,58,true,jackdutton8,2023-01-04T13:58:40Z,"","Columbia",0.665,0.469,10,-7.778,0,0.13,0.565,0.000317,0.219,0.142,115.852,4
spotify:track:5B0kgjHULYJhAQkK5XsMoC,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","CALL ME IF YOU GET LOST","Tyler, The Creator;YoungBoy Never Broke Again;Ty Dolla $ign",2021-06-25,121572,70,true,jackdutton8,2023-01-04T13:58:44Z,"trap soul","Columbia",0.493,0.653,0,-5.666,0,0.0466,0.269,0,0.511,0.852,142.347,4
spotify:track:1nXZnTALNXiPlvXotqHm66,"A BOY IS A GUN*","IGOR","Tyler, The Creator",2019-05-17,210253,69,true,jackdutton8,2023-01-04T13:59:01Z,"","Columbia",0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,4
spotify:track:4f8Mh5wuWHOsfXtzjrJB3t,"I THINK","IGOR","Tyler, The Creator",2019-05-17,212016,72,true,jackdutton8,2023-01-04T13:59:06Z,"","Columbia",0.826,0.579,8,-8.241,0,0.0801,0.00881,0,0.129,0.431,121.075,4
spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,"911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)","Flower Boy","Tyler, The Creator;Frank Ocean;Steve Lacy",2017-07-21,255653,71,true,jackdutton8,2023-01-04T13:59:14Z,"","Columbia",0.48,0.61,0,-7.042,1,0.305,0.0456,0,0.313,0.297,90.034,4
spotify:track:3G9tyuUoBVNTDXY0icrUVf,"Out of Me Head","The Lo-Fis","Steve Lacy",2020-12-04,141055,64,false,jackdutton8,2023-01-04T13:59:26Z,"","L-M Records",0.799,0.39,8,-14.592,1,0.102,0.397,0.711,0.107,0.978,88.509,4
