Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Sr2e5J7WnRJ7sLpUpyie9,"Funny How Time Slips Away","The Early Years","Willie Nelson",1994-01-01,183373,45,false,jackdutton8,2024-09-13T15:46:06Z,"outlaw country,classic country,country,traditional country,honky tonk","Capitol Nashville",0.692,0.18,2,-14.932,1,0.035,0.829,0.00743,0.134,0.453,104.597,3
spotify:track:27hpjHYx6duzBH99XW7ENn,"Hello Walls","And Then I Wrote","Willie Nelson",1962-01-01,146109,48,false,jackdutton8,2024-09-13T15:46:08Z,"outlaw country,classic country,country,traditional country,honky tonk","Capitol Nashville",0.566,0.368,0,-10.306,1,0.0341,0.724,0.00000133,0.0823,0.517,49.815,4
spotify:track:5NmBhMK9Pfu1XNAyzmxIro,"That's How I Got To Memphis","Tom T. Hall - Storyteller, Poet, Philosopher","Tom T. Hall",1995-11-14,182466,59,false,jackdutton8,2024-09-13T15:46:10Z,"classic country,outlaw country,traditional country,honky tonk","Mercury Records",0.707,0.432,4,-13.432,1,0.0368,0.168,0.000156,0.207,0.761,109.964,4
spotify:track:4yND0gfKnrscti9Ux8vv9E,"You Ask Me To","Honky Tonk Heroes","Waylon Jennings",1973-07-01,154975,50,false,jackdutton8,2024-09-13T15:46:41Z,"outlaw country,classic country,country,honky tonk,traditional country","RCA Records Label Nashville",0.581,0.41,0,-14.698,1,0.0286,0.447,0.284,0.163,0.836,98.375,4
spotify:track:33LQxf2T3Jbgw3XQ1H3LMY,"Blue Skies","Stardust","Willie Nelson",1978-04-01,217725,51,false,jackdutton8,2024-09-13T15:46:56Z,"outlaw country,classic country,country,traditional country,honky tonk","Legacy/Columbia",0.381,0.335,2,-12.797,1,0.0362,0.207,0.088,0.1,0.259,83.792,4
spotify:track:0jo2E9nTTflJzAadadRaek,"Lost Highway","Sings","Hank Williams",1951-11-09,163933,51,false,jackdutton8,2024-09-13T15:47:13Z,"classic country,honky tonk,traditional country,outlaw country,country","Mercury Nashville",0.593,0.296,2,-10.892,1,0.029,0.855,0.000182,0.112,0.551,132.943,4
spotify:track:7fMOzTcT7U5A9hVCwCfWgD,"Shotgun Willie","Shotgun Willie","Willie Nelson",1973,157053,50,false,jackdutton8,2024-09-13T15:47:23Z,"outlaw country,classic country,country,traditional country,honky tonk","Rhino Atlantic",0.746,0.491,4,-12.712,0,0.0593,0.662,0.0000514,0.0756,0.868,76.857,4
spotify:track:64x9gfHg9gqSGmVY10psD8,"Sad Songs and Waltzes","Shotgun Willie","Willie Nelson",1973,185213,41,false,jackdutton8,2024-09-13T15:47:38Z,"outlaw country,classic country,country,traditional country,honky tonk","Rhino Atlantic",0.336,0.158,9,-14.971,1,0.0344,0.821,0.00192,0.107,0.165,88.383,3
spotify:track:3LFvmmrMRbQ8Lxiz3fkXw3,"Slow Down Old World","Shotgun Willie","Willie Nelson",1973,171413,34,false,jackdutton8,2024-09-13T15:47:46Z,"outlaw country,classic country,country,traditional country,honky tonk","Rhino Atlantic",0.375,0.173,9,-15.161,1,0.0292,0.814,0.000142,0.109,0.21,83.88,3
spotify:track:1dbQNSAXlOEtngcIZAOfPO,"Buddy","Good Times","Willie Nelson",1968-09-01,139431,44,false,jackdutton8,2024-09-13T15:47:51Z,"outlaw country,classic country,country,traditional country,honky tonk","RLG/Legacy",0.598,0.0833,0,-14.861,1,0.0566,0.9,0.000381,0.114,0.453,108.199,4
spotify:track:7ixaUA9fwMRJ2A3e5glbFp,"Ol' Blue","Rainbow Connection","Willie Nelson",2001-01-01,156920,19,false,jackdutton8,2024-09-13T15:48:40Z,"outlaw country,classic country,country,traditional country,honky tonk","Island Records",0.44,0.229,9,-11.698,1,0.037,0.91,0.0992,0.124,0.51,89.923,4
spotify:track:5O0h2Fq8byNYT5tHwymFkH,"When I Get to Heaven","The Tree of Forgiveness","John Prine",2018-04-13,222573,0,false,jackdutton8,2024-09-13T15:48:54Z,"americana,folk,singer-songwriter,alt country","Oh Boy Records",0.584,0.317,2,-13.464,1,0.273,0.697,0,0.0709,0.653,89.708,5
spotify:track:40EtuBA1rqr6yGIVfhg5Cx,"I'll Fly Away","My Mother's Hymn Book","Johnny Cash",2004,113400,39,false,jackdutton8,2024-09-13T20:08:08Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.634,0.0919,4,-12.718,0,0.0308,0.946,0,0.119,0.448,94.418,4
spotify:track:0jo2BDAxfgNrL5VplFuulx,"My Old Kentucky Home, Goodnight","My Old Kentucky Home, Goodnight","John Prine",2019-05-01,225906,0,false,jackdutton8,2024-09-13T20:14:26Z,"americana,folk,singer-songwriter,alt country","Oh Boy Records",0.527,0.325,0,-13.128,1,0.0275,0.683,0.000948,0.106,0.535,146.897,4
spotify:track:1t42JUmuj7QnaoypQ35PyD,"Don't Think Twice, It's All Right","Orange Blossom Special","Johnny Cash",1965-02-15,179599,44,false,jackdutton8,2024-09-28T06:30:16Z,"classic country,outlaw country,country","Columbia Nashville Legacy",0.768,0.512,0,-10.272,1,0.0616,0.57,0.0021,0.0631,0.641,92.264,4
spotify:track:4vcDnnuHUmombz20IRkzRO,"Me and Paul","Yesterday's Wine","Willie Nelson",1971,229773,47,false,jackdutton8,2024-09-28T06:30:19Z,"outlaw country,classic country,country,traditional country,honky tonk","RLG/BMG Heritage",0.709,0.412,9,-12.807,1,0.0663,0.419,0.0000456,0.11,0.74,101.711,4
spotify:track:0ZXmbQXKbfXO8Cv9qxPdZu,"Stay All Night (Stay a Little Longer)","Shotgun Willie","Willie Nelson",1973,154160,45,false,jackdutton8,2024-09-28T06:30:21Z,"outlaw country,classic country,country,traditional country,honky tonk","Rhino Atlantic",0.602,0.366,7,-15.895,1,0.0468,0.413,0.00000498,0.192,0.946,180.297,4
spotify:track:7Gsy2uBT0CJwbZ2K9KwTk4,"Where Have All The Average People Gone - Single Version","Roger Miller","Roger Miller",1969-07-01,181160,47,false,jackdutton8,2024-09-28T06:30:22Z,"classic country","Mercury Nashville",0.704,0.428,9,-13.296,1,0.0436,0.499,0.0029,0.0868,0.692,85.102,4
spotify:track:3cvI332shUFYnGHcDdNqie,"Please Don't Bury Me","Sweet Revenge","John Prine",1973,171333,48,false,jackdutton8,2024-10-02T17:30:27Z,"americana,folk,singer-songwriter,alt country","Atlantic Records",0.58,0.702,4,-10.857,1,0.0288,0.269,0,0.125,0.921,101.101,4
spotify:track:0HFu4LUT4kKxwIPFnS7UGz,"L.A. Freeway","Old No. 1","Guy Clark",1975,296520,43,false,jackdutton8,2024-10-02T17:30:29Z,"outlaw country,americana,alt country,texas country","SBCMG",0.614,0.28,9,-13.027,1,0.0289,0.9,0.000332,0.104,0.483,124.236,4
spotify:track:3QFRiKaJAUl7nYnrjnEZ84,"Time of the Preacher","Red Headed Stranger","Willie Nelson",1975-05-01,145697,40,false,jackdutton8,2024-10-02T17:30:31Z,"outlaw country,classic country,country,traditional country,honky tonk","Columbia Nashville",0.566,0.133,4,-18.399,1,0.0498,0.889,0.000625,0.112,0.23,136.101,3
spotify:track:5paRS95sOPkOVQlmUIUF4B,"Bloody Mary Morning","Phases And Stages","Willie Nelson",1974,168933,45,false,jackdutton8,2024-10-02T17:30:33Z,"outlaw country,classic country,country,traditional country,honky tonk","Rhino Atlantic",0.601,0.766,7,-13.262,1,0.0466,0.586,0.000903,0.347,0.856,130.14,4
spotify:track:13OK3ZOupPmDYN0sPTYSae,"Never Been to Spain","Ladies Love Outlaws","Waylon Jennings",1972-09-01,161664,52,false,jackdutton8,2024-10-02T17:30:35Z,"outlaw country,classic country,country,honky tonk,traditional country","RLG/Legacy",0.618,0.453,2,-11.287,1,0.0334,0.369,0.0113,0.0878,0.688,105.552,4
spotify:track:0TOKl39WfOPXEvARhG92oj,"I'm Just an Old Chunk of Coal (But I'm Gonna Be a Diamond Someday)","I'm Just an Old Chunk of Coal...But I'm Gonna Be a Diamond Someday","Billy Joe Shaver",1981,121400,41,false,jackdutton8,2024-10-02T17:30:36Z,"outlaw country,honky tonk,texas country,classic country,americana,red dirt,alt country","Legacy Recordings",0.689,0.598,9,-11.226,1,0.0327,0.175,0.0000448,0.178,0.883,100.623,4
spotify:track:5xFyv9usNG8AKN3JD57tdo,"I Gotta Get Drunk","Both Sides Now","Willie Nelson",1970-03-01,134746,41,false,jackdutton8,2024-10-02T17:30:45Z,"outlaw country,classic country,country,traditional country,honky tonk","Legacy/CBS/Sony",0.675,0.541,2,-8.547,1,0.0535,0.612,0.0000218,0.115,0.702,79.115,4
spotify:track:51DLN9R1dIqkKnlRsz1kpg,"Mr. Bojangles","Mr. Bojangles","Jerry Jeff Walker",1968,328146,44,false,jackdutton8,2024-10-02T17:30:47Z,"texas country,outlaw country,red dirt,country rock,classic country,americana","Rhino Atlantic",0.427,0.0801,2,-27.119,1,0.0372,0.748,0.51,0.125,0.78,168.418,3
spotify:track:1jy7k4URSRJeO0N2aMzj5R,"Long Gone Lonesome Blues","Moanin' The Blues (Expanded Edition)","Hank Williams;Drifting Cowboys",1952-09-12,159706,45,false,jackdutton8,2024-10-02T17:30:53Z,"classic country,honky tonk,traditional country,outlaw country,country,country christian,christian bluegrass","Mercury Nashville",0.717,0.327,4,-11.028,1,0.0361,0.687,0,0.0973,0.742,122.615,4
spotify:track:5l0ThPS4RhAkyFnM9AtrIK,"Memory Maker","All His Great Hits","Mel Tillis",1995-01-01,175293,33,false,jackdutton8,2024-10-17T20:07:06Z,"classic country,traditional country,outlaw country,honky tonk","Hollywood Records",0.607,0.508,10,-10.821,1,0.0306,0.581,0,0.0519,0.765,131.526,4
spotify:track:1ZS3ON442UGUMg87rNdo8v,"Paradise","Broken Hearts & Dirty Windows: Songs of John Prine, Vol. 2","Sturgill Simpson",2021-10-08,198813,52,false,jackdutton8,2024-10-24T02:29:52Z,"outlaw country,alt country,bluegrass,americana,red dirt,country,newgrass","Oh Boy Records",0.432,0.304,2,-9.674,1,0.0393,0.77,0.0000233,0.0908,0.543,186.773,3
spotify:track:4KROoGIaPaR1pBHPnR3bwC,"Pink Moon","Pink Moon","Nick Drake",1972-02-25,124000,66,false,jackdutton8,2024-10-28T17:50:04Z,"folk,singer-songwriter","UMC (Universal Music Catalogue)",0.642,0.427,3,-8.471,1,0.0402,0.871,0.0904,0.124,0.404,82.344,4
