Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3uiMBldZ07pW0ySHDX5gzE,"Silly Love Songs - 2014 Remaster","Wings At The Speed Of Sound (Archive Collection)","Wings",1976-03-25,354240,65,false,jackdutton8,2023-11-10T18:42:35Z,"","Paul McCartney Catalog",0.742,0.471,0,-10.767,1,0.0326,0.134,0.0903,0.284,0.815,124.95,4
spotify:track:6ySVa9OQidAvnEk9O0w2qR,"Band On The Run","All The Best","Paul McCartney;Wings",1987-11-02,309333,45,false,jackdutton8,2023-11-10T18:42:49Z,"","Paul McCartney Catalog",0.468,0.444,0,-13.822,1,0.0335,0.0552,0.000331,0.285,0.668,125.564,4
spotify:track:0xAhbD6lCf5re1RXl5yiTm,"Sweet Talkin' Woman","Out of the Blue","Electric Light Orchestra",1977,229672,67,false,jackdutton8,2023-11-10T18:43:15Z,"art rock,soft rock","Epic/Legacy",0.609,0.611,0,-9.208,1,0.0298,0.513,0,0.093,0.916,121.836,4
spotify:track:3KfbEIOC7YIv90FIfNSZpo,"In My Life - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,146333,78,false,jackdutton8,2023-11-10T18:43:24Z,"classic rock,psychedelic rock","EMI Catalogue",0.688,0.435,9,-11.359,1,0.0323,0.449,0,0.113,0.435,103.239,4
spotify:track:4MLBqAEzNN89o2M9h92Z26,"Get Back - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,189386,69,false,jackdutton8,2023-11-10T18:43:25Z,"classic rock,psychedelic rock","EMI Catalogue",0.761,0.592,2,-9.836,1,0.0586,0.492,0.00626,0.61,0.332,123.095,4
spotify:track:67oyFnjJnn78fZP9KjeZx0,"Goodbye Stranger - Remastered 2010","Breakfast In America (Deluxe Edition)","Supertramp",1979-03-29,350573,70,false,jackdutton8,2023-11-10T18:44:04Z,"progressive rock,classic rock","A&M",0.42,0.668,1,-7.35,1,0.0517,0.607,0.016,0.0585,0.338,125.391,4
spotify:track:7CZiDzGVjUssMSOXrDNYHL,"Ticket To Ride - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,189680,66,false,jackdutton8,2023-11-12T19:01:51Z,"classic rock,psychedelic rock","EMI Catalogue",0.519,0.85,9,-6.777,1,0.0677,0.0457,0,0.232,0.75,123.422,4
spotify:track:2hdNya0b6Cc2YJ8IyaQIWp,"Livin' Thing","A New World Record","Electric Light Orchestra",1976-09-01,211708,71,false,jackdutton8,2023-11-12T19:01:53Z,"art rock,soft rock","Epic/Legacy",0.549,0.651,0,-7.097,1,0.0323,0.583,0,0.121,0.368,122.818,4
spotify:track:0Nux6Q8aJZ1i4vUpPDBvlX,"What Is Life - 2014 Remaster","All Things Must Pass (2014 Remaster)","George Harrison",1970-11-20,264405,66,false,jackdutton8,2023-11-12T19:01:54Z,"","BMG Rights Management (US) LLC",0.471,0.839,4,-5.928,1,0.032,0.00654,0.000278,0.315,0.895,131.362,4
spotify:track:2RnPATK99oGOZygnD2GTO6,"With A Little Help From My Friends - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,164106,61,false,jackdutton8,2023-11-12T19:01:57Z,"classic rock,psychedelic rock","EMI Catalogue",0.705,0.515,4,-9.343,1,0.0337,0.365,0,0.389,0.803,112.035,4
spotify:track:44aTAUBF0g6sMkMNE8I5kd,"Every Little Thing She Does Is Magic","Ghost In The Machine (Remastered 2003)","The Police",1981-10-02,260573,76,false,jackdutton8,2023-11-12T19:01:59Z,"","Polydor Records",0.558,0.768,2,-9.997,1,0.0343,0.121,0.0626,0.124,0.429,81.909,4
spotify:track:06ypiqmILMdVeaiErMFA91,"Drive My Car - Remastered 2009","Rubber Soul (Remastered 2009)","The Beatles",1965-12-03,148893,65,false,jackdutton8,2023-11-12T19:02:03Z,"classic rock,psychedelic rock","EMI Catalogue",0.754,0.571,2,-8.547,1,0.0421,0.0173,0,0.3,0.82,122.463,4
spotify:track:3hNUYt4dMM9RhcWmty8oKF,"Day Tripper - Remastered 2009","The Beatles 1962 - 1966 (Remastered)","The Beatles",1973-04-01,169613,64,false,jackdutton8,2023-11-12T19:02:05Z,"classic rock,psychedelic rock","EMI Catalogue",0.642,0.723,6,-10.553,0,0.0298,0.117,0,0.19,0.697,137.735,4
spotify:track:1Pd1h30mgU05QkWYhgFzwt,"Turn to Stone","Out of the Blue","Electric Light Orchestra",1977,229304,63,false,jackdutton8,2023-11-12T19:02:12Z,"art rock,soft rock","Epic/Legacy",0.548,0.72,1,-9.777,0,0.0409,0.0686,0.000232,0.107,0.458,140.966,4
spotify:track:0v0XYK0pLgsPiq5u4FKHaw,"Take The Long Way Home - Remastered 2010","Breakfast In America (Deluxe Edition)","Supertramp",1979-03-29,308853,68,false,jackdutton8,2023-11-12T19:02:16Z,"progressive rock,classic rock","A&M",0.414,0.7,5,-8.838,1,0.0301,0.22,0.000721,0.114,0.37,76.79,4
spotify:track:0VV8wkOM4w78A2OHZOTzNP,"Live And Let Die - 2018 Remaster","Red Rose Speedway (Archive Collection)","Wings",1973-04-30,192773,65,false,jackdutton8,2023-11-12T19:02:21Z,"","Paul McCartney Catalog",0.391,0.375,7,-12.573,1,0.046,0.0797,0.013,0.143,0.116,153.802,4
spotify:track:25yQPHgC35WNnnOUqFhgVR,"Lucy In The Sky With Diamonds - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,208466,63,false,jackdutton8,2023-11-12T19:02:27Z,"classic rock,psychedelic rock","EMI Catalogue",0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
spotify:track:0hKRSZhUGEhKU6aNSPBACZ,"A Day In The Life - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,337413,62,false,jackdutton8,2023-11-12T19:02:29Z,"classic rock,psychedelic rock","EMI Catalogue",0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,4
spotify:track:389QX9Q1eUOEZ19vtzzI9O,"While My Guitar Gently Weeps - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,285000,73,false,jackdutton8,2023-11-12T19:02:42Z,"classic rock,psychedelic rock","EMI Catalogue",0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,4
spotify:track:5veJDT0MLsLbhYsx42GXUD,"Don't Stand So Close To Me","Zenyatta Mondatta (Remastered 2003)","The Police",1980-10-03,242666,72,false,jackdutton8,2023-11-12T19:02:56Z,"","Polydor Records",0.799,0.506,2,-9.414,1,0.0606,0.0453,0.00107,0.0365,0.518,140.309,4
spotify:track:7iN1s7xHE4ifF5povM6A48,"Let It Be - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,243026,80,false,jackdutton8,2023-11-12T19:03:08Z,"classic rock,psychedelic rock","EMI Catalogue",0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
spotify:track:1SnTzsiSyLSbdO0DHVIZOw,"Care Of Cell 44","Odessey and Oracle","The Zombies",1968,235826,0,false,bh8kpk0e3tgy8k7wcinahroes,2023-11-14T01:18:29Z,"baroque pop,psychedelic rock","Marquis Enterprises Ltd",0.421,0.58,7,-7.029,1,0.0286,0.264,0.0129,0.0973,0.397,129.961,4
spotify:track:0DQqzCHlPyKQXfF8uL01SI,"Sunny Afternoon","Face to Face (Deluxe)","The Kinks",1966-10-28,210525,0,false,bh8kpk0e3tgy8k7wcinahroes,2023-11-14T01:23:15Z,"proto-punk,baroque pop","Castle Communications",0.595,0.462,2,-8.414,0,0.0259,0.102,0,0.0641,0.526,124.991,4
spotify:track:74njazGdnO2igjEkb0mGiy,"September Gurls","Radio City","Big Star",1974,168066,41,false,bh8kpk0e3tgy8k7wcinahroes,2023-11-14T01:25:34Z,"power pop,jangle pop,baroque pop","Stax",0.423,0.79,4,-8.161,1,0.0336,0.000734,0.0084,0.308,0.797,113.878,4
