Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5QTxFnGygVM4jFQiBovmRo,"(Don't Fear) The Reaper","Agents Of Fortune","Blue Öyster Cult",1976,308123,77,false,jackdutton8,2023-03-06T23:28:48Z,"classic rock,hard rock","Columbia",0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,4
spotify:track:1x1XQqhBViz4opcpwc7FVs,"Reelin' In The Years","Can't Buy A Thrill","Steely Dan",1972-11-01,277467,73,false,jackdutton8,2023-03-06T23:28:50Z,"yacht rock,classic rock","Geffen",0.494,0.54,2,-17.34,1,0.0348,0.154,0,0.0878,0.723,134.976,4
spotify:track:7Ar4G7Ci11gpt6sfH9Cgz5,"Listen to the Music","Toulouse Street","The Doobie Brothers",1972,227266,78,false,jackdutton8,2023-03-06T23:28:58Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.645,0.598,1,-13.18,0,0.0334,0.221,0.00000353,0.0721,0.913,105.929,4
spotify:track:5oVx6Gs3zWH3GB0TRoh1mO,"Nothing Ever Goes As Planned","Paradise Theatre","Styx",1981-01-01,286826,34,false,jackdutton8,2023-03-06T23:29:52Z,"classic rock,aor,progressive rock","A&M",0.6,0.484,7,-11.379,0,0.0354,0.164,0.0000141,0.0682,0.831,114.029,4
spotify:track:567aHuFwfzPoSe3fW7mD4X,"She Cares","Paradise Theatre","Styx",1981-01-01,258066,30,false,jackdutton8,2023-03-06T23:29:58Z,"classic rock,aor,progressive rock","A&M",0.667,0.578,9,-11.273,1,0.0281,0.0293,0,0.0429,0.903,134.005,4
spotify:track:6mZNV5HXWZI6clrKcdNe8e,"Lonely People","Paradise Theatre","Styx",1981-01-01,321573,29,false,jackdutton8,2023-03-06T23:30:06Z,"classic rock,aor,progressive rock","A&M",0.623,0.497,5,-13.967,1,0.055,0.0219,0.000341,0.513,0.615,92.904,4
spotify:track:2LXISHBkx8FyoxCBkckh19,"Do It Again","Can't Buy A Thrill","Steely Dan",1972-11-01,357041,75,false,jackdutton8,2023-03-06T23:30:09Z,"yacht rock,classic rock","Geffen",0.655,0.431,2,-15.18,0,0.032,0.343,0.0000095,0.0711,0.941,124.588,4
spotify:track:3ZZq9396zv8pcn5GYVhxUi,"Down Under","Business As Usual","Men At Work",1981-11-09,222320,81,false,jackdutton8,2023-03-06T23:30:22Z,"","Columbia",0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,4
spotify:track:2pX4FpOgwItRVPPUFdRcxA,"Smooth (feat. Rob Thomas)","Supernatural (Legacy Edition)","Santana;Rob Thomas",1999,294986,74,false,jackdutton8,2023-03-06T23:30:23Z,"","Columbia/Legacy",0.609,0.923,9,-3.908,1,0.0338,0.16,0.00000473,0.295,0.961,115.996,4
spotify:track:7tokOMPzSHbLJVZh8an2Nq,"Let My Baby Ride","Come on In","R.L. Burnside",1998-08-11,180466,54,false,jackdutton8,2023-03-06T23:30:42Z,"blues,country blues,modern blues,classic blues,blues rock","Fat Possum",0.769,0.68,7,-9.731,1,0.0818,0.255,0.13,0.325,0.507,95.986,4
spotify:track:4alHo6RGd0D3OUbTPExTHN,"Just What I Needed","The Cars","The Cars",1978-06-06,225626,71,false,jackdutton8,2023-03-06T23:31:05Z,"power pop,new wave,classic rock","Elektra Records",0.62,0.579,4,-9.307,1,0.0473,0.0152,0.000064,0.0858,0.691,127.215,4
spotify:track:35wVRTJlUu2kDkqXFegOKt,"You Might Think","Heartbeat City (Expanded Edition)","The Cars",1984,184717,66,false,jackdutton8,2023-03-06T23:31:24Z,"power pop,new wave,classic rock","Rhino/Elektra",0.728,0.855,2,-6.031,1,0.0333,0.109,0.000576,0.113,0.971,133.887,4
