Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3c9EsIo34kil8Oj1reaozB,"American Nights","The Great American Bar Scene","Zach Bryan",2024-07-04,218933,6,false,jackdutton8,2024-08-20T17:06:08Z,"country,red dirt","Warner Records",0.57,0.678,6,-5.629,1,0.0598,0.0309,0.00000992,0.104,0.358,137.581,4
spotify:track:6iXgIXqpqn13pbw0ZUhf0E,"Purple Gas","The Great American Bar Scene","Zach Bryan;Noeline Hofmann",2024-07-04,180152,1,true,jackdutton8,2024-08-20T17:06:17Z,"country,red dirt","Warner Records",0.52,0.308,0,-8.924,1,0.0434,0.856,0,0.0945,0.493,143.928,4
spotify:track:4ZJ4vzLQekI0WntDbanNC7,"Pink Skies","Pink Skies","Zach Bryan",2024-05-24,194920,85,false,jackdutton8,2024-08-20T17:06:19Z,"country,red dirt","Warner Records",0.525,0.488,0,-6.909,1,0.038,0.191,0.0000514,0.135,0.253,84.999,4
spotify:track:2OcpUR9GG6jOv6OXhFrUda,"The Great American Bar Scene","The Great American Bar Scene","Zach Bryan",2024-07-04,216720,1,false,jackdutton8,2024-08-20T17:06:31Z,"country,red dirt","Warner Records",0.392,0.405,11,-9.279,1,0.0388,0.51,0.0988,0.369,0.279,141.192,3
spotify:track:1ZhcazwIbu1zu2qjitf3f2,"Song While You're Away (From Twisters: The Album)","Song While You're Away (From Twisters: The Album)","Tyler Childers",2024-06-28,300800,51,false,jackdutton8,2024-08-20T17:06:39Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Atlantic Records",0.512,0.511,7,-9.105,1,0.0254,0.343,0.00145,0.164,0.331,77.986,4
spotify:track:5iJKGpnFfvbjZJeAtwXfCj,"28","The Great American Bar Scene","Zach Bryan",2024-07-04,233333,11,false,jackdutton8,2024-08-20T17:06:47Z,"country,red dirt","Warner Records",0.492,0.519,7,-6.886,1,0.0288,0.227,0.0000847,0.0693,0.435,80.868,3
spotify:track:4pCbJC43j3gSqG6Fen6upD,"Hey Driver (feat. The War and Treaty)","Zach Bryan","Zach Bryan;The War And Treaty",2023-08-25,227466,74,false,jackdutton8,2024-08-20T17:06:50Z,"country,red dirt","Warner Records",0.583,0.351,0,-5.836,1,0.0306,0.494,0,0.368,0.462,79.014,4
spotify:track:0OWhKvvsHptt6vnnNUSM9a,"Oklahoma Smokeshow","Summertime Blues","Zach Bryan",2022-07-15,211739,80,false,jackdutton8,2024-08-20T17:06:53Z,"country,red dirt","Warner Records",0.544,0.573,8,-5.694,1,0.0356,0.0958,0,0.104,0.233,122.977,4
spotify:track:2gJj6WtAxXjApMs3PXsCeX,"Heavy Eyes","American Heartbreak","Zach Bryan",2022-05-20,190780,66,false,jackdutton8,2024-08-20T17:07:01Z,"country,red dirt","Warner Records",0.471,0.912,5,-3.032,1,0.0724,0.032,0,0.343,0.613,139.667,4
spotify:track:6pamafD9p0K7FHfJPz6TYF,"Open the Gate","American Heartbreak","Zach Bryan",2022-05-20,234771,73,false,jackdutton8,2024-08-20T17:07:03Z,"country,red dirt","Warner Records",0.427,0.606,4,-5.014,0,0.0349,0.00779,0.000038,0.0917,0.531,148.977,4
