Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3jSc6a7N6L9RhAhxjh9VQP,"I Swear (To God)","Purgatory","Tyler Childers",2017-08-04,200493,59,false,jackdutton8,2024-02-09T13:45:37Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.59,0.572,4,-4.684,1,0.0266,0.843,0.229,0.33,0.924,89.721,4
spotify:track:1bp2PcwZgR9LwBdoERsOuJ,"Country Squire","Country Squire","Tyler Childers",2019-08-02,201425,58,false,jackdutton8,2024-02-09T13:45:39Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.508,0.725,9,-7.203,1,0.0398,0.524,0.0000265,0.479,0.916,166.872,4
spotify:track:5opxZwZYGrLuWTOLW8HvMK,"Purgatory","Purgatory","Tyler Childers",2017-08-04,166053,53,false,jackdutton8,2024-02-09T13:45:42Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.489,0.773,7,-6.356,1,0.0308,0.301,0.108,0.241,0.908,141.419,4
spotify:track:1RJyToUKkGSEfJjavJHSsF,"House Fire","Country Squire","Tyler Childers",2019-08-02,232977,63,false,jackdutton8,2024-02-09T13:45:44Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.519,0.707,5,-8.424,1,0.0272,0.241,0.102,0.267,0.545,93.348,4
spotify:track:48nZLOpJOINkICPWpUuhaN,"Universal Sound","Purgatory","Tyler Childers",2017-08-04,221600,66,false,jackdutton8,2024-02-09T13:45:46Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.672,0.437,5,-9.656,1,0.0368,0.85,0.261,0.107,0.636,101.588,4
spotify:track:0113kB5PUEGvDHVBopCuTo,"Creeker","Country Squire","Tyler Childers",2019-08-02,301746,53,false,jackdutton8,2024-02-09T13:45:51Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.374,0.39,4,-7.223,1,0.0283,0.453,0.000518,0.257,0.3,183.219,3
spotify:track:217WnNJ3NuFB9dC8wncMPb,"Born Again","Purgatory","Tyler Childers",2017-08-04,208213,54,false,jackdutton8,2024-02-09T13:45:53Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.506,0.669,5,-4.805,1,0.0327,0.624,0.00883,0.165,0.764,155.28,4
spotify:track:4eWV7VdatatMHWLt5ilzVZ,"Gemini","Country Squire","Tyler Childers",2019-08-02,152896,53,false,jackdutton8,2024-02-09T13:45:56Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.573,0.594,5,-7.751,1,0.033,0.619,0.0000397,0.107,0.912,157.329,4
spotify:track:4m8QO7mDC4kqWTKSLqsZS8,"Honky Tonk Flame","Purgatory","Tyler Childers",2017-08-04,297386,52,false,jackdutton8,2024-02-09T13:45:58Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.334,0.692,4,-5.567,1,0.0352,0.252,0.00122,0.19,0.824,174.336,3
spotify:track:0o6hh58uipkorQvA8u1KTI,"Banded Clovis","Purgatory","Tyler Childers",2017-08-04,259066,53,false,jackdutton8,2024-02-09T13:45:58Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.432,0.552,7,-6.987,1,0.0334,0.81,0.0267,0.066,0.854,172.963,3
spotify:track:6udNiH5Fdr1N8RQAdU2gVF,"Bus Route","Country Squire","Tyler Childers",2019-08-02,187694,51,false,jackdutton8,2024-02-09T13:46:03Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.464,0.555,4,-9.049,1,0.0391,0.42,0.00000581,0.276,0.595,166.555,4
spotify:track:2yBzeWs9bf32ad0z4r4rJc,"Big Iron","Western Swing & Waltzes and Other Punchy Songs","Colter Wall",2020-08-28,264866,58,false,jackdutton8,2024-02-09T13:46:11Z,"outlaw country,southern gothic,country,red dirt,alt country,bluegrass,americana","La Honda Records/RCA Records",0.694,0.566,0,-10.608,1,0.0329,0.393,0.00002,0.103,0.723,113.158,3
spotify:track:55aK86IrWnMT6XoMwBs5ca,"Follow You to Virgie (Live)","Live on Red Barn Radio I & II","Tyler Childers",2018-06-29,204106,60,false,jackdutton8,2024-02-09T13:46:18Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.591,0.272,11,-10.749,1,0.0561,0.892,0.0000196,0.629,0.312,72.507,4
spotify:track:1XcxubL4Y4U4gxLeIbb8VM,"Tattoos","Purgatory","Tyler Childers",2017-08-04,203360,67,false,jackdutton8,2024-02-09T13:46:23Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.333,0.457,9,-7.295,1,0.0307,0.241,0.0399,0.16,0.279,172.143,4
spotify:track:2c1CzDmWWVBgJezXfFDmJC,"Peace of Mind","Country Squire","Tyler Childers",2019-08-02,282872,47,false,jackdutton8,2024-02-09T13:46:30Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.345,0.416,5,-9.629,1,0.0263,0.593,0.00000273,0.216,0.4,173.606,3
spotify:track:3R6c8mU0KUlUvEin4cJ2OJ,"Ever Lovin' Hand","Country Squire","Tyler Childers",2019-08-02,278576,45,false,jackdutton8,2024-02-09T13:46:36Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.573,0.815,2,-6.995,1,0.0393,0.18,0.0604,0.0994,0.737,96.455,4
spotify:track:10W8eYYfSEgq6aTU3dkWkw,"Matthew","Country Squire","Tyler Childers",2019-08-02,253440,44,false,jackdutton8,2024-02-09T13:46:38Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.298,0.315,7,-7.848,1,0.028,0.68,0.000253,0.246,0.312,173.808,3
spotify:track:65UNQSH7RI4Lxw7VrXMp5y,"Fraulein (feat. Tyler Childers)","Colter Wall","Colter Wall;Tyler Childers",2017-05-12,143000,64,false,jackdutton8,2024-02-09T13:46:46Z,"outlaw country,southern gothic,country,red dirt,alt country,bluegrass,americana,texas country","La Honda Records/RCA Records",0.473,0.124,7,-13.245,1,0.0339,0.942,0.0000349,0.126,0.476,139.584,4
