Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5CMjjywI0eZMixPeqNd75R,"Lose Yourself to Dance (feat. Pharrell Williams)","Random Access Memories","Daft Punk;Pharrell Williams",2013-05-20,353893,70,false,jackdutton8,2023-04-19T13:44:25Z,"french house,electronic,electro","Columbia",0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,4
spotify:track:7hhclvecTpNxNNRCk7NUoc,"Little L","A Funk Odyssey","Jamiroquai",2001-08-29,295400,70,false,jackdutton8,2023-04-19T13:46:11Z,"acid jazz","Epic",0.878,0.724,10,-5.373,0,0.129,0.168,0.0116,0.133,0.904,121.906,4
spotify:track:2ZPcsOxNKPVQqeSOcUTn0J,"Supersonic","Synkronized","Jamiroquai",1999-06-08,315800,41,false,jackdutton8,2023-04-19T13:47:24Z,"acid jazz","Sony Music CG",0.736,0.867,1,-6.729,1,0.0535,0.0121,0.54,0.0579,0.573,120.018,4
spotify:track:69kOkLUCkxIZYexIgSG8rq,"Get Lucky (feat. Pharrell Williams and Nile Rodgers)","Random Access Memories","Daft Punk;Pharrell Williams;Nile Rodgers",2013-05-20,369626,76,false,jackdutton8,2023-04-19T13:44:28Z,"french house,electronic,electro","Columbia",0.81,0.793,6,-9.404,0,0.0403,0.0378,0.00000177,0.072,0.863,116.05,4
spotify:track:0oks4FnzhNp5QPTZtoet7c,"Giorgio by Moroder","Random Access Memories","Daft Punk",2013-05-20,544626,65,false,jackdutton8,2023-04-19T13:44:32Z,"french house,electronic,electro","Columbia",0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,4
spotify:track:0DiWol3AO6WpXZgp0goxAV,"One More Time","Discovery","Daft Punk",2001-03-12,320357,82,false,jackdutton8,2023-04-19T13:45:10Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,4
spotify:track:1NeLwFETswx8Fzxl2AFl91,"Something About Us","Discovery","Daft Punk",2001-03-12,232666,75,false,jackdutton8,2023-04-19T13:45:15Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.875,0.475,9,-12.673,0,0.0986,0.44,0.72,0.046,0.384,99.958,4
spotify:track:1pKYYY0dkg23sQQXi0Q5zN,"Around the World","Homework","Daft Punk",1997-01-17,429533,76,false,jackdutton8,2023-04-19T13:45:22Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4
spotify:track:0IedgQjjJ8Ad4B3UDQ5Lyn,"Fragments of Time (feat. Todd Edwards)","Random Access Memories","Daft Punk;Todd Edwards",2013-05-20,279773,60,false,jackdutton8,2023-04-19T13:44:22Z,"french house,electronic,electro,uk garage","Columbia",0.807,0.51,0,-9.729,1,0.0433,0.041,0.115,0.104,0.961,130.118,4
spotify:track:5W3cjX2J3tjhG8zb6u0qHn,"Harder, Better, Faster, Stronger","Discovery","Daft Punk",2001-03-12,226413,75,false,jackdutton8,2023-04-19T13:45:26Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.817,0.716,6,-8.898,0,0.144,0.0427,0.00263,0.358,0.692,123.474,4
spotify:track:0dEIca2nhcxDUV8C5QkPYb,"Give Life Back to Music","Random Access Memories","Daft Punk",2013-05-20,275386,63,false,jackdutton8,2023-04-19T13:44:30Z,"french house,electronic,electro","Columbia",0.788,0.616,9,-10.671,0,0.0337,0.00286,0.549,0.0952,0.696,119.037,4
spotify:track:3Nxw6eeFpBwUbxVuSY6NC0,"Chillin'","Modjo (Remastered)","Modjo",2001,293732,60,false,jackdutton8,2023-04-19T13:46:07Z,"french house,disco house","Modjo Music",0.58,0.89,6,-5.559,1,0.036,0.0000654,0.000446,0.0518,0.909,124.971,4
spotify:track:4UQDZlZhGUDoYMohwrY28v,"Virtual Insanity - Remastered 2006","Driving Songs","Jamiroquai",2005-01-01,229360,77,false,jackdutton8,2023-04-19T13:46:19Z,"acid jazz","Sony Music CG",0.662,0.949,6,-4.758,1,0.108,0.128,0,0.135,0.516,91.954,4
spotify:track:6y0Etr2KJr0sdcEp7ajoUK,"Cosmic Girl - Remastered 2013","Travelling Without Moving (Remastered)","Jamiroquai",1996-09-09,244146,74,false,jackdutton8,2023-04-19T13:46:28Z,"acid jazz","Sony Music CG",0.633,0.921,11,-7.719,0,0.0495,0.0261,0.00102,0.309,0.925,119.865,4
spotify:track:47oS7xB31QQUyPCgHpM3VZ,"Canned Heat","Synkronized","Jamiroquai",1999-06-08,331760,73,false,jackdutton8,2023-04-19T13:46:42Z,"acid jazz","Sony Music CG",0.7,0.865,9,-5.827,0,0.133,0.0136,0.0000771,0.0718,0.78,128.043,4
spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,"Aerodynamic","Discovery","Daft Punk",2001-03-12,212546,66,false,jackdutton8,2023-04-19T13:47:40Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.624,0.911,7,-7.482,1,0.0524,0.329,0.861,0.0727,0.135,122.902,4
spotify:track:2WkHXAVVMgRnBmQ3HYAVla,"Alright - Remastered 2013","Travelling Without Moving (Remastered)","Jamiroquai",1996-09-09,263920,63,false,jackdutton8,2023-04-19T13:54:03Z,"acid jazz","Sony Music CG",0.815,0.875,7,-7.822,0,0.0598,0.174,0.048,0.136,0.733,105.805,4
spotify:track:2yWyFT6bW1Rd9cjVvYi4v8,"Superstylin'","Goodbye Country (Hello Nightclub)","Groove Armada",2001-07-11,360426,64,false,jackdutton8,2023-04-19T13:54:25Z,"big beat,trip hop","Jive Electro",0.742,0.798,9,-8.263,1,0.0558,0.00346,0.00131,0.259,0.928,128.967,4
spotify:track:3MCCYUXWRRGVk4sf2IhzoJ,"Lazy (feat. David Byrne)","Raise Your Hands","X-Press 2;David Byrne",2008-03-01,255920,0,false,jackdutton8,2023-04-19T13:54:37Z,"art rock,art pop","Skint Records",0.696,0.679,1,-9.108,1,0.0312,0.00096,0.0000065,0.111,0.886,130.011,4
spotify:track:6R7HiEHriT8uCvNwnqRA1D,"No More Tears","Modjo (Remastered)","Modjo",2001,377556,48,false,jackdutton8,2023-04-19T13:54:48Z,"french house,disco house","Modjo Music",0.648,0.839,9,-5.427,0,0.031,0.0000978,0.0000514,0.0421,0.876,123.022,4
spotify:track:49X0LAl6faAusYq02PRAY6,"Lady - Hear Me Tonight","Modjo (Remastered)","Modjo",2001,307153,83,false,jackdutton8,2023-04-19T13:54:56Z,"french house,disco house","Modjo Music",0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,4
spotify:track:5luWJxS799LLp2e88RffUx,"Starlight","Starlight","The Supermen Lovers;Mani Hoffman",2001-01-01,364333,1,false,jackdutton8,2023-04-19T13:55:02Z,"french house","Lafessé Records",0.706,0.661,0,-5.126,1,0.034,0.000411,0.0514,0.139,0.642,127.48,4
spotify:track:1c5CllrZr45UBhWpIqM332,"Funny Thing","It Is What It Is","Thundercat",2020-04-03,116630,73,false,jackdutton8,2023-04-19T13:55:26Z,"","Brainfeeder",0.586,0.893,7,-8.772,1,0.439,0.827,0.642,0.212,0.65,140.023,3
spotify:track:1aKRACWeXW0kXMhCWo35ub,"Welcome to the Disco","Bae 5","Yung Bae;Macross 82-99",2019-06-28,195274,0,false,jackdutton8,2023-04-19T13:55:34Z,"vaporwave,city pop,nu disco","Future of Funk Records, LLC",0.699,0.693,6,-5.215,1,0.102,0.00137,0.801,0.265,0.716,128.028,4
spotify:track:1YucFGqqoZ8nKwsHR1AOmS,"Rollercoaster","Modjo (Remastered)","Modjo",2001,251866,46,false,jackdutton8,2023-04-19T13:55:49Z,"french house,disco house","Modjo Music",0.718,0.736,1,-6.121,0,0.0577,0.00021,0.893,0.0392,0.864,126.324,4
spotify:track:0bZPy3kBR0TzKeUvkMNcSg,"Paradise City","Flavored","Pop Up!",2016,189545,35,false,jackdutton8,2023-04-19T13:56:00Z,"vaporwave,french house,city pop","businesscasual",0.696,0.946,9,-3.148,1,0.286,0.00252,0.0393,0.306,0.634,120.995,4
spotify:track:4ahWVoHIxMfoLksp36A1mf,"Ultra-Funk","The New Sound of the Venezuelan Gozadera","Los Amigos Invisibles",1998,218666,36,false,jackdutton8,2023-04-19T13:59:47Z,"rock en español,latin alternative,latin rock","LUAKA BOP",0.667,0.903,0,-6.451,1,0.0398,0.0141,0.00915,0.309,0.823,109.463,4
spotify:track:6WkJ2OK163XXS2oARUC9JM,"Dancin (feat. Luvli) - Krono Remix","Dancin (feat. Luvli) [Krono Remix]","Aaron Smith;Krono;Luvli",2014-11-07,198053,78,false,jackdutton8,2023-04-21T16:38:21Z,"","Sony Music Entertainment",0.72,0.741,10,-6.529,0,0.0287,0.101,0.0000141,0.289,0.357,119.896,4
spotify:track:6KzkqZqhUBEsWYJJa2aBOd,"The Weekend - Radio Edit","Analog Is On","Michael Gray",2007-06-01,192173,70,false,jackdutton8,2023-04-23T15:31:31Z,"disco house","Altra Moda Music",0.686,0.832,4,-5.673,0,0.0725,0.000321,0.127,0.583,0.884,127.023,4
spotify:track:0MyY4WcN7DIfbSmp5yej5z,"Da Funk","Homework","Daft Punk",1997-01-17,328680,67,false,jackdutton8,2023-04-28T14:40:05Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.806,0.7,0,-5.269,0,0.0752,0.00196,0.891,0.267,0.892,111.215,4
spotify:track:0upgxxew2mVAEctrz08jnf,"Love Foolosophy - Radio Edit","A Funk Odyssey","Jamiroquai",2001-08-29,224493,64,false,jackdutton8,2023-04-28T14:40:08Z,"acid jazz","Epic",0.799,0.69,11,-4.998,0,0.0749,0.0119,0.0000287,0.133,0.896,129.297,4
spotify:track:303ccTay2FiDTZ9fZ2AdBt,"Music Sounds Better With You","Music Sounds Better With You","Stardust;Benjamin Diamond;Alan Braxe;Thomas Bangalter",1998-07-20,403293,73,false,jackdutton8,2023-04-28T14:40:53Z,"french house","Because Music",0.735,0.72,1,-7.04,1,0.336,0.00105,0.15,0.382,0.364,124.174,4
