Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3fqwjXwUGN6vbzIwvyFMhx,"Tennessee Whiskey","Traveller","Chris Stapleton",2015-05-04,293293,85,false,jackdutton8,2023-10-11T17:10:18Z,"country,outlaw country","Mercury Nashville",0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,4
spotify:track:2UikqkwBv7aIvlixeVXHWt,"You Should Probably Leave","Starting Over","Chris Stapleton",2020-11-13,213493,84,false,jackdutton8,2023-10-11T17:10:26Z,"country,outlaw country","Mercury Nashville",0.602,0.477,9,-8.425,1,0.032,0.268,0.000031,0.173,0.552,183.89,4
spotify:track:0fCwTrRNfoNk962ati8n2K,"All Your'n","Country Squire","Tyler Childers",2019-08-02,218290,78,false,jackdutton8,2023-10-11T17:10:32Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.585,0.55,11,-7.342,1,0.0255,0.408,0.0000397,0.115,0.839,78.176,4
spotify:track:1vBpwxsLVwaR4evBIaFmqD,"Drinkin' Problem","On The Rocks","Midland",2017-09-22,220800,77,false,jackdutton8,2023-10-11T17:10:47Z,"country,honky tonk","Big Machine Records, LLC",0.622,0.763,9,-6.4,1,0.0263,0.055,0.00000891,0.313,0.621,102,4
spotify:track:06gD2ZtK3Dzc1BYqWExQJJ,"Broken Halos","From A Room: Volume 1","Chris Stapleton",2017-05-05,180906,78,false,jackdutton8,2023-10-11T17:11:02Z,"country,outlaw country","Mercury Nashville",0.613,0.564,8,-7.085,1,0.0251,0.134,0.00000165,0.0585,0.538,78.388,4
spotify:track:7CNd7rjfVt74TFlcOcnZgN,"In Color","That Lonesome Song","Jamey Johnson",2008-01-01,290680,69,false,jackdutton8,2023-10-11T17:11:18Z,"outlaw country,country,red dirt,classic country","Mercury Nashville",0.544,0.404,3,-8.751,1,0.0354,0.391,0.00000398,0.157,0.251,129.518,4
spotify:track:0G7pjeHX2TDqw6mx14puWg,"Hippies and Cowboys","Less Wise","Cody Jinks",2010-06-28,300680,70,false,jackdutton8,2023-10-11T17:11:31Z,"red dirt,texas country,outlaw country,country","Late August Records",0.698,0.584,5,-5.067,1,0.0279,0.0511,0,0.295,0.618,115.08,4
spotify:track:7yrJnekdlwWARt5lmVqJ6L,"Burn Out","On The Rocks","Midland",2017-09-22,188613,72,false,jackdutton8,2023-10-11T17:11:58Z,"country,honky tonk","Big Machine Records, LLC",0.671,0.724,7,-5.61,1,0.0244,0.292,0,0.231,0.801,99.976,4
spotify:track:5j4hSQH0KaAc8f6cimnXIT,"Fire Away","Traveller","Chris Stapleton",2015-05-04,244333,75,false,jackdutton8,2023-10-11T17:12:35Z,"country,outlaw country","Mercury Nashville",0.559,0.301,9,-9.066,1,0.0297,0.055,0.00979,0.101,0.177,116.123,3
spotify:track:3EUl8M6SzxZl03NPkB8mUd,"Neon Moon","#1s ... and then some","Brooks & Dunn",2009-09-08,263760,71,false,jackdutton8,2023-10-11T17:12:47Z,"country,classic country,acoustic country,honky tonk","Arista Nashville",0.698,0.632,9,-6.508,1,0.0247,0.554,0,0.118,0.458,102.408,4
spotify:track:4BaAxwS4VoeCYk9TuXQs7f,"Free","The Foundation","Zac Brown Band",2008-11-17,228653,69,false,jackdutton8,2023-10-11T17:13:14Z,"country,acoustic country","Home Grown Music",0.453,0.411,1,-7.539,1,0.0276,0.235,0.00021,0.101,0.28,75.752,4
spotify:track:1t2hJFgJyUPD2crOafMUEk,"You and Tequila (feat. Grace Potter)","Hemingway's Whiskey","Kenny Chesney;Grace Potter",2010-09-28,242840,60,false,jackdutton8,2023-10-11T17:13:42Z,"country","BNA Records Label",0.691,0.454,6,-9.13,1,0.0256,0.437,0.00227,0.0783,0.35,135.839,4
spotify:track:3K07bGe8iljQ3mOKArHLDo,"Starting Over","Starting Over","Chris Stapleton",2020-11-13,240413,80,false,jackdutton8,2023-10-11T17:13:53Z,"country,outlaw country","Mercury Nashville",0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,4
