Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7E4qUlNYocWix5FKBdw5CN,"OH! TENGO SUERTE","SEYCHELLES","Masayoshi Takanaka",1976,252666,64,false,jackdutton8,2023-01-03T15:29:25Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.519,0.744,2,-9.487,1,0.0432,0.68,0.0526,0.123,0.408,93.555,4
spotify:track:5floNyItopWZyB4IzKrJtW,"トーキョーレギー","SEYCHELLES","Masayoshi Takanaka",1976,260333,66,false,jackdutton8,2023-01-03T15:29:28Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.498,0.73,4,-10.326,1,0.0388,0.076,0.0579,0.0712,0.724,131.019,4
spotify:track:7hgTD3nmWLbF58Rsugc27d,"BREEZIN'","オン・ギター","Masayoshi Takanaka",1994-06-25,350000,53,false,jackdutton8,2023-01-03T15:29:29Z,"jazz fusion,city pop,jazz funk","INVITATION",0.594,0.779,11,-9.609,0,0.0435,0.117,0.844,0.0404,0.765,104.434,4
spotify:track:3bMc9oRaUWnojCrYTUXXcQ,"BRASILIAN SKIES","BRASILIAN SKIES","Masayoshi Takanaka",1978,353013,62,false,jackdutton8,2023-01-03T15:29:29Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.598,0.716,1,-13.154,0,0.037,0.0602,0.537,0.0628,0.876,121.987,4
spotify:track:4LqHF9kKfpmPaY9Pq9osdW,"スウェアー - Live at Chuo Kaikan Hall, Tokyo, Feb. 1982","recorded LIVE and BEST〜Early Alfa Years","CASIOPEA",1980,407280,31,false,jackdutton8,2023-01-03T15:29:30Z,"jazz fusion,city pop,jazz funk,jazz","Sony Music Direct (Japan) Inc.",0.542,0.783,6,-9.143,0,0.0387,0.038,0.227,0.351,0.73,93.792,4
spotify:track:2NPJdGcE9b899bVM3y0cJV,"JUST THE WAY YOU ARE","オン・ギター","Masayoshi Takanaka",1994-06-25,308733,41,false,jackdutton8,2023-01-03T15:29:34Z,"jazz fusion,city pop,jazz funk","INVITATION",0.666,0.606,0,-9.904,1,0.0405,0.211,0.403,0.0811,0.712,99.393,4
spotify:track:1QB30cN5wWQPhJk87InQhR,"RAINBOW","オン・ギター","Masayoshi Takanaka",1994-06-25,373600,43,false,jackdutton8,2023-01-03T15:29:35Z,"jazz fusion,city pop,jazz funk","INVITATION",0.59,0.616,5,-10.036,1,0.0292,0.347,0.869,0.0801,0.727,94.335,4
spotify:track:4yFM6VkpHJcVlLi6BUG7Ea,"パッション・フラワー","PACIFIC","Shigeru Suzuki",1978,214506,49,false,jackdutton8,2023-01-03T15:29:40Z,"city pop,jazz fusion","Sony Music Direct (Japan) Inc.",0.577,0.902,2,-6.711,1,0.0342,0.164,0.634,0.0637,0.965,113.484,4
spotify:track:6OefDqPAjXDoFMcQ0esfNH,"FUNKY HOLO HOLO BIRD","BRASILIAN SKIES","Masayoshi Takanaka",1978,375013,42,false,jackdutton8,2023-01-03T15:29:50Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.623,0.578,2,-15.077,0,0.0331,0.00906,0.54,0.151,0.798,128.208,4
spotify:track:4ZNYJOxZ1Sy31bONMhaxJo,"E. S. P.","AN INSATIABLE HIGH","Masayoshi Takanaka",1977,251000,51,false,jackdutton8,2023-01-03T15:29:53Z,"jazz fusion,city pop,jazz funk","Universal Music LLC",0.798,0.516,6,-14.211,0,0.084,0.201,0.0821,0.084,0.934,119.192,4
