Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4f8hBeMXMvssn6HtFAtblo,"El Paso","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,259306,68,false,jackdutton8,2021-10-11T16:38:16Z,"classic country,outlaw country","Columbia/Legacy",0.654,0.452,2,-9.709,1,0.03,0.835,0.0000289,0.16,0.691,106.662,3
spotify:track:1TKPfF2fvn6gVLVfp3iG4j,"I Walk The Line - Single Version","Sings the Songs that Made Him Famous","Johnny Cash;The Tennessee Two",1958-01-01,163045,32,false,jackdutton8,2021-10-11T16:38:18Z,"classic country,outlaw country,country","Sun Records",0.862,0.484,10,-11.183,1,0.0421,0.798,0.00105,0.105,0.787,105.834,4
spotify:track:5fcxVCOtfesNzI2n4Y4kiJ,"Jackson","Carryin' On With Johnny Cash And June Carter","Johnny Cash;June Carter Cash",1967-08-01,165826,64,false,jackdutton8,2021-10-11T16:38:25Z,"classic country,outlaw country,country","Columbia Nashville Legacy",0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.408,0.799,128.496,4
spotify:track:5KqldkCunQ2rWxruMEtGh0,"The Gambler","The Gambler","Kenny Rogers",1978-11-20,214880,78,false,jackdutton8,2021-10-11T16:38:26Z,"country,classic country","Capitol Nashville",0.668,0.501,4,-13.119,1,0.0629,0.342,0,0.194,0.858,87.086,4
spotify:track:5fdhThPDe6jQQDqCyWrdAn,"Jolene","Jolene (Expanded Edition)","Dolly Parton",1974,161533,74,false,jackdutton8,2021-10-11T16:38:39Z,"country,classic country","RLG/Legacy",0.674,0.537,1,-10.971,0,0.0363,0.566,0,0.131,0.809,110.578,4
spotify:track:3h5AZDf5z7D18plaLtHTfi,"Murder in the City","The Second Gleam","The Avett Brothers",2008-07-22,192426,48,false,jackdutton8,2021-10-11T16:39:18Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.632,0.254,3,-10.898,1,0.0338,0.922,0.0000906,0.13,0.232,106.026,4
spotify:track:7CEV9VwA8XO9wwxTXgYKvY,"I And Love And You","I And Love And You","The Avett Brothers",2009-01-01,300840,59,false,jackdutton8,2021-10-11T16:39:26Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","American Recordings Catalog P&D",0.424,0.264,2,-9.984,1,0.0298,0.831,0.0000708,0.0763,0.169,139.593,4
spotify:track:2RtFVEfT3TRZsfaektnvtI,"The Carolinian","IV","Chatham County Line",2008-03-04,239426,0,false,jackdutton8,2021-10-11T16:39:44Z,"newgrass,bluegrass,americana,alt country","Yep Roc Records",0.564,0.614,4,-7.347,1,0.0251,0.392,0.000142,0.157,0.613,98.349,4
spotify:track:7gSQv1OHpkIoAdUiRLdmI6,"I Won't Back Down","Full Moon Fever","Tom Petty",1989-01-01,178360,74,false,jackdutton8,2021-10-13T17:01:20Z,"classic rock","Tom Petty P&D",0.766,0.478,7,-13.487,1,0.0329,0.0513,0.00000249,0.165,0.965,114.02,4
spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,"Spirit In The Sky - Deluxe Edition","Spirit In The Sky (Deluxe Edition)","Norman Greenbaum",1969-01-01,242893,76,false,jackdutton8,2021-10-13T16:57:44Z,"classic rock","Craft Recordings",0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4
spotify:track:3xdjjKMcMOFgo1eQrfbogM,"Wagon Wheel","True Believers","Darius Rucker",2013-01-01,298373,79,false,jackdutton8,2021-10-11T16:39:55Z,"country","Capitol Records Nashville",0.535,0.66,9,-7.174,1,0.0297,0.455,0,0.135,0.577,148.044,4
spotify:track:7kv7zBjMtVf0eIJle2VZxn,"Southern Nights","Southern Nights","Glen Campbell",1977-01-01,180026,75,false,jackdutton8,2021-10-11T16:39:58Z,"classic country","Capitol Records",0.697,0.813,11,-8.89,0,0.0315,0.0989,0.0232,0.583,0.85,95.301,4
spotify:track:6V9VCm1zOY2lGR80RehJ9i,"Wichita Lineman - Remastered 2001","Wichita Lineman (Remastered)","Glen Campbell",1968,186200,63,false,jackdutton8,2021-10-11T16:40:02Z,"classic country","Capitol Nashville",0.192,0.392,5,-11.667,1,0.0327,0.326,0.000199,0.248,0.392,172.312,4
spotify:track:6NGqtkp6zbRmQnbRTehplQ,"Southern State Of Mind","Charleston, SC 1966","Darius Rucker",2010-01-01,216920,50,false,jackdutton8,2021-10-11T16:40:10Z,"country","Capitol Nashville",0.601,0.63,1,-6.874,1,0.0276,0.147,0,0.263,0.672,154.879,4
spotify:track:0eRw4kHctaKUNiG71vj2DT,"Things I'd Never Do","Charleston, SC 1966","Darius Rucker",2010-01-01,228386,25,false,jackdutton8,2021-10-11T16:40:11Z,"country","Capitol Nashville",0.499,0.725,10,-5.534,1,0.0331,0.241,0.00000139,0.128,0.257,137.927,4
spotify:track:1XOuMDdsVbGb2vHsSaUaE5,"Eyes of Silver","What Were Once Vices Are Now Habits","The Doobie Brothers",1974,179173,39,false,jackdutton8,2021-10-11T16:40:25Z,"yacht rock,classic rock,soft rock,southern rock","Warner Records",0.672,0.742,9,-8.571,1,0.0464,0.104,0.00000694,0.0775,0.878,112.545,4
spotify:track:5SHrrJllBeZqG7wEWZvYSN,"I Got Nothin'","Charleston, SC 1966","Darius Rucker",2010-01-01,204360,40,false,jackdutton8,2021-10-11T16:40:27Z,"country","Capitol Nashville",0.554,0.621,9,-5.37,1,0.0325,0.169,0,0.086,0.257,147.798,4
spotify:track:7gUMShP1l20tC0xf17Zplk,"Ride Like the Wind","Christopher Cross","Christopher Cross",1979,275506,68,false,jackdutton8,2021-10-11T16:40:34Z,"yacht rock,soft rock","Rhino/Warner Records",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
spotify:track:4sHOAALFZiNa4wukjPSBpq,"Come Back Song","Charleston, SC 1966","Darius Rucker",2010-01-01,235146,63,false,jackdutton8,2021-10-11T16:40:38Z,"country","Capitol Nashville",0.516,0.745,9,-5.674,1,0.0381,0.138,0,0.114,0.77,177.781,4
spotify:track:6fIvjDuusQK59brMgHV9qb,"This","Charleston, SC 1966","Darius Rucker",2010-01-01,218866,57,false,jackdutton8,2021-10-11T16:40:40Z,"country","Capitol Nashville",0.625,0.826,4,-5.037,1,0.0325,0.121,0,0.158,0.699,99.919,4
spotify:track:0AQquaENerGps8BQmbPw14,"Big Iron","Gunfighter Ballads And Trail Songs","Marty Robbins",1959,235733,74,false,jackdutton8,2021-10-11T16:40:44Z,"classic country,outlaw country","Columbia/Legacy",0.726,0.474,1,-7.834,0,0.0491,0.803,0,0.258,0.57,116.027,4
spotify:track:5481Ng1rxw0kvXEuXtQmWI,"Satan Pulls The Strings","True Sadness","The Avett Brothers",2016-06-24,188186,31,false,jackdutton8,2021-10-11T16:40:51Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","RRE, LLC / Republic",0.555,0.895,9,-3.715,0,0.0682,0.00361,0.000289,0.0715,0.505,96.985,4
spotify:track:2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968","At Folsom Prison","Johnny Cash",1968-05-01,162325,67,false,jackdutton8,2021-10-11T16:41:01Z,"classic country,outlaw country,country","Columbia/Legacy",0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,4
spotify:track:6i8SZ4NIrYeyrbBOoRSC9z,"Cocaine Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968","At Folsom Prison (Legacy Edition)","Johnny Cash",1968-05-02,169293,59,false,jackdutton8,2021-10-11T16:41:04Z,"classic country,outlaw country,country","Columbia/Legacy",0.661,0.571,8,-12.317,1,0.103,0.27,0,0.98,0.826,122.396,4
spotify:track:2Pr1nZpt8A8WP7QYpyq6L3,"Wildflowers","Wildflowers","Tom Petty",1994,190320,66,false,jackdutton8,2021-10-11T16:54:33Z,"classic rock","143/Warner Records",0.537,0.315,5,-13.79,1,0.0271,0.588,0.0000229,0.206,0.575,86.813,4
